time,summary
1728415727.816951,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.816951,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https PA / Raw
1728415727.816951,Ether / IP / TCP 34.120.202.204:https > 192.168.57.164:20477 A
1728415727.8470232,Ether / IP / TCP 34.120.202.204:https > 192.168.57.164:20477 A
1728415727.8470232,Ether / IP / TCP 34.120.202.204:https > 192.168.57.164:20477 A
1728415727.8470232,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A
1728415728.1284182,Ether / IP / TCP 34.120.202.204:https > 192.168.57.164:20477 PA / Raw
1728415728.1304858,Ether / IP / TCP 192.168.57.164:20477 > 34.120.202.204:https PA / Raw
1728415728.166722,Ether / IP / TCP 34.120.202.204:https > 192.168.57.164:20477 A
1728415728.898602,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415728.898602,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415728.907184,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415728.907184,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415728.929535,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20457 > 2603:1040:a06:6::1:https PA / Raw
1728415728.9473023,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415728.9486187,Ether / IPv6 / TCP 2603:1040:a06:6::1:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20457 PA / Raw
